№|ID|серійний номер|адреса|місто|особливості|опис 4 зони|банк|модель|виробник|контактна особа|область|дата отримання ключа|наявність ключа|доступ|сигналізація|зарплатний проект|інкасація|flm|slm|розміщення|vip
456|4516|5310146244|м. Київ, вул. Бориспільська, 2 (1-й АТМ)|Київ|FLM-5;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 9|Відділення Дарницьке|0
457|4517|5310144344|м. Ірпінь, вул. Тараса Шевченка, 4А (1-й АТМ)|Ірпінь|FLM-5;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 9|Відділення Ірпінське|0
458|4518|5310144588|м. Київ, пр. Героїв Сталінграду, 25-Б (1-й АТМ)|Київ|FLM-5;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 9|Відділення Київське №38|0
459|4519|5310144492|м. Харків, пр. Ювілейний, 57А (1-й АТМ)|Харків|Link:FLM-7;SLM-5 ACCESS Відсутній засіб для зняття сигналізації||ALFA|Wincor Cineo C4060 FL|WINCOR||Харківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 9|Відділення Харківське №12|0
460|4521|5310144397|м. Київ, вул. Ковпака, 29 (1-й АТМ)|Київ|FLM-5;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 9|Відділення Центральне|0
461|4522|5310145842|м. Мелітополь, вул. Героїв України, 40 (1-й АТМ)|Мелітополь|FLM-5;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR||Запорізька||0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 9|Відділення Мелітопольське №1|0
462|4523|5310146216|м. Київ, вул. Велика Васильківська, 100 (1-й АТМ)|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR||Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 9|БЦ Торонто, вежа А|0
463|4524|5310146248|м. Київ, вул. Антоновича, 81|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|Link: Expert Solutions|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 9|БЦ Торонто, вежа С|1
464|4525|5310144528|м. Київ, вул. Велика Васильківська, 100 (2-й АТМ)|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR||Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 9|БЦ Торонто, відділення Торонто|0
465|4526|5310145832|м. Київ, вул. Велика Васильківська, 100 (3-й АТМ)|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR||Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 9|БЦ Торонто, відділення Торонто|0
466|4528|5300352775|м. Київ, вул. Залізничне шосе, 57 (1-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТОВ Фудмаркет|1
467|4529|13-45179867|м. Київ, вул. Бориспільська, 9|Київ|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|с/м Велика Кишеня|1
468|4530|5300358744|м. Київ, вул. Полярна, 20Д|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
469|4531|5300356353|м. Полтава, вул. Зіньківська, 6/1А (2-й АТМ)|Полтава|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Полтавська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТЦ Київ|1
470|4532|5300337363|м. Харків, вул. Клочковська, 339|Харків|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Харківська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Приміщення підприємства Тайфун 2000|1
471|4533|13-46071490|м. Краматорськ, пр. Дворцовий, 23|Краматорськ|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Донецька||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|Магазин Брусниця|1
472|4534|5300316994|м. Київ, вул. Берковецька, 6А (1-й АТМ)|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
473|4537|5300272503|м. Харків, пр. Науки, 27Б (1-й АТМ)|Харків|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|БЦ Капіталіст|1
474|4538|13-45167143|м. Дніпро, Запорізьке шосе, 62К|Дніпро|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Дніпропетровська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|г/м Епіцентр|1
475|4539|5300499945|м. Запоріжжя, вул. Запорізька, 1В|Запоріжжя|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Запорізька||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
476|4540|13-45181317|м. Виноградів, вул. Шевченка, 8|Виноградів|FLM-5;SLM-5 ACCESS.. ПН, ВТ ключ необхідно брати в зав. каси відділення Виноградів||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Закарпатська||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|Галерея|1
477|4541|5300499865|м. Чорноморськ, вул. Миру, 35|Чорноморськ|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Одеська||0|0|1|1|УСБ ВТ,ПТ|Реноме-Смарт 6|Реноме-Смарт 10|с/м Таврія В|1
478|4542|5300207334|м. Слов'янськ, вул. Шовковична, 12|Слов'янськ|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Донецька||0|0|1|1|УСБ ПН,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|ТЦ Ярмарковий|1
479|4543|5300186268|м. Київ, 65 км траси Київ-Житомир|Київ|FLM-5;SLM-5 ACCESS.. Доступ погоджується за номером 0672485127||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська||0|0|1|0|УСБ СР|Реноме-смарт 6|Реноме-смарт 10|ЗП-ТОВ Агрофірма Весна-2011|1
480|4545|5300261230|с. Староаврамівка, вул. Шевченка, 20|Староаврамівка|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Полтавська|12.07.2011|0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|ТОВ Агрофірма Хорольська|1
481|4546|5300338085|м. Бровари, вул. Марії Лагунової, 4Б|Бровари|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Броварське|1
482|4547|5300256884|м. Чернігів, вул. Горького, 17 (1-й АТМ)|Чернігів|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR||Чернігівська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Чернігівське|1
483|4549|13-45179972|м. Десна, вул. Івана Франка, 44А|Десна|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Чернігівська||0|0|0|1|УСБ ВТ,ЧТ|PRINTEC 8|PRINTEC 12|Відділення Гарнізонне|0
484|4550|5300358668|м. Київ, вул.Сагайдачного, 15|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 4|Готель Рів'єра|0
485|4551|13-45179897|м. Кам'янське, вул. Широка, 99|Кам'янське|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Дніпропетровська||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|АТЗТ завод МЕТИЗ|1
486|4552|5300302684|м. Бахмут, вул. Ювілейна, 10|Бахмут|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Донецька||0|0|1|1|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Кінотеатр Перемога|1
487|4553|5300356333|м. Вільнянськ, пр. Торговий, 11А|Вільнянськ|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Запорізька||0|0|1|0|УСБ ВТ,ПТ|Реноме-Смарт 6|Реноме-Смарт 10|КП Водоканал|1
488|4554|5300337321|м. Мукачеве, вул. Лавківська, 1Д|Мукачеве|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Закарпатська||0|0|1|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|г/м Епіцентр|1
489|4555|13-45167149|м. Енергодар, пр. Будівельників, 45|Енергодар|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Запорізька||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|с/м Сільпо|1
490|4556|13-45167151|м. Кременчук, проїзд Ярославський, 8|Кременчук|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Полтавська||0|0|1|0|УСБ ПН,ЧТ|PRINTEC 8|PRINTEC 12|ПАТ Кременчуцький колісний завод|1
491|4557|5300337919|м. Харків, пр. Індустріальний, 26 (2-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Харківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Індустріальне|1
492|4558|13-48383559|с. Косарі, вул. Кірова, 1|Косарі|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Черкаська||0|0|1|0|УСБ ПН,ЧТ|PRINTEC 8|PRINTEC 12|Державне підприємство Косарський спиртзавод|1
493|4560|5300291103|м. Київ, вул. Солом'янська, 11А|Київ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект 0632103444 - Дмитро Миколайович; 0632104800 - Сергій Миколайович|Київська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТОВ Астеліт|1
494|4561|13-45179974|м. Чернігів, пр. Миру, 44|Чернігів|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Чернігівська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|3-я міська поліклініка|1
495|4562|13-45179901|м. Київ, пр. Валерія Лобановського, 51|Київ|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|НДІ буд. Виробн.|1
496|4563|5300186270|м. Буча, вул. Києво-Мироцька, 104Д|Буча|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|с/м Novus|1
497|4564|5300271944|м. Харків, вул. Полтавський Шлях, 146 (1-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 3000|WINCOR||Харківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Полтавське №2|1
498|4565|5300357097|м. Кривий Ріг, вул. Бикова, 33|Кривий Ріг|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Дніпропетровська||0|0|1|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|г/м Епіцентр|1
499|4566|5300352788|м. Одеса, вул. Дворянська, 32|Одеса|FLM-5;SLM-5||ALFA|ProCash 2000xe Frontload|WINCOR|Link: Радіоконект|Одеська|25.04.2019|0|0|0|1|УСБ|Реноме-смарт 3|Реноме-смарт 6|Одеський коледж мистецтв ім. К.Ф. Данькевича|1
500|4567|5300264980|м. Львів, вул. Городоцька, 302|Львів|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Expert Solutions|Львівська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
501|4568|5300357105|м. Первомайськ, вул. Корабельна, 50|Первомайськ|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Миколаївська||0|0|1|0|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|ПАТ Завод Фрегат|1
502|4569|5300262872|м. Рубіжне, вул.Володимирська, 37А|Рубіжне|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Луганська||0|0|1|1|УСБ СР,ПТ|Реноме-Смарт 6|Реноме-Смарт 10|Магазин Техносбыт|1
503|4570|13-45181309|м. Харків, вул. Полтавський Шлях, 155|Харків|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Магазин ГОССОН|1
504|4571|13-45179876|м. Шостка, вул. Садовий бульвар, 18А|Шостка|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Сумська||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|Приміщення Центрального універмагу|1
505|4572|13-45181328|м. Суми, вул. Петропавлівська, 47|Суми|FLM-6;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Сумська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Магазин Художник|1
506|4573|5300165215|м. Кропивницький, пр. Університетський, 8|Кропивницький|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Кіровоградська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Кіровоградський державний технічний університет|1
507|4574|5300186263|м. Одеса, пр. Шевченка, 1|Одеса|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Одеська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Одеський національний політехнічний університет|1
508|4575|13-46071658|м. Київ, вул. Велика Кільцева, 56|Київ|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|ВІДІ Автострада|1
509|4576|13-45181321|м. Краматорськ, вул. Південна, 1|Краматорськ|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Донецька||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|Приміщення міськгазу|1
510|4577|5300652160|м. Харків, пр. Московський, 256|Харків|FLM-5;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Сільпо|1
511|4579|5300653495|м. Кропивницький, вул. Короленка, 20|Кропивницький|FLM-7;SLM-5||ALFA|ProCash 8050|WINCOR|Link: Радіоконект|Кіровоградська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Державна льотна академія|1
512|4580|13-49011907|м. Одеса, вул. Львівська, 15|Одеса|FLM-6;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Одеська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Одеський державний екологічний університет|1
513|4581|5300303413|м. Запоріжжя, пр. Маяковського, 26|Запоріжжя|Link:FLM-7;SLM-5 ACCESS Відсутній доступ||ALFA|ProCash 2050|WINCOR|Link: Expert Solutions|Запорізька||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Адмінкорпус Держмедуніверситету|1
514|4582|13-45181289|м. Харків, вул. Різдвяна, 29Б|Харків|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Центральний ринок|1
515|4584|5300298198|м. Рубіжне, вул. Менделєєва, 33|Рубіжне|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR||Луганська||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Рубіжанське|1
516|4586|5300298200|м. Харків, вул. Героїв Праці, 9 (2-й АТМ)|Харків|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТРЦ Дафi|1
517|4587|13-45167161|м. Харків, вул. Куликівська, 12|Харків|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Харківська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Академія народного господарства|1
518|4588|5300232497|м. Київ, вул. Братиславська, 11 (1-й АТМ)|Київ|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Expert Solutions|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
519|4589|5300316998|м. Київ, вул. Берковецька, 6А (2-й АТМ)|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
520|4590|5300652398|м. Київ, вул. Віскозна, 4|Київ|FLM-7;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
521|4591|5300186271|м. Харків, вул. Академіка Павлова, 44Б|Харків|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТРЦ Французький Бульвар|1
522|4592|5300256823|м. Вишгород, вул. Шолуденка, 1|Вишгород|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|с/м Еко маркет|1
523|4593|13-45179869|м. Київ, пр. Маяковського, 10|Київ|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|НАСК Оранта|1
524|4594|13-45179930|м. Покровськ, пр. Миру, 32 (2-й АТМ)|Покровськ|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR||Донецька||0|0|0|1|Альфа|PRINTEC 8|PRINTEC 12|Відділення Покровське|1
525|4595|5300353528|м. Київ, вул. Саксаганського, 14 (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське № 44|1
526|4596|13-45179885|м. Фастів, вул. Соборна, 36|Фастів|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ СР|PRINTEC 8|PRINTEC 12|Аптека|0
527|4597|13-45179931|м. Слов'янськ, вул. Солоділова, 1|Слов'янськ|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Донецька||0|0|1|0|УСБ ПН,ЧТ|PRINTEC 8|PRINTEC 12|ПАТ Бетонмаш|0
528|4598|5300358679|м. Київ, вул. Шовковична, 42/44|Київ|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Бізнес-центр|1
529|4599|5300357133|м. Київ, вул. Алли Тарасової, 5А|Київ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Готель Хаят|1
530|4600|5300352476|м. Вишневе, вул. Святошинська, 28|Вишневе|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|с/м Novus|1
531|4601|5300289565|м. Полтава, пр. Першотравневий, 24 (1-й АТМ)|Полтава|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Радіоконект|Полтавська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Полтавський НТУ ім. Кондратюка|1
532|4602|5300647764|м. Харків, пр. Гагаріна, 352|Харків|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
533|4603|13-49011900|м. Запоріжжя, вул. Перемоги, 78|Запоріжжя|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Запорізька||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Обласний центр серцево-судинних захворювань|0
534|4604|5300267626|м. Львів, вул. Під Дубом, 7А|Львів|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Expert Solutions|Львівська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТЦ Форум Львів|1
535|4605|5300264999|м. Київ, вул. Велика Кільцева, 1|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
536|4606|5300652637|м. Київ, вул. Солом'янська 11|Київ|FLM-5;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|БЦ Елевен|1
537|4607|13-45179954|м. Кам'янське, пр. Свободи, 1|Кам'янське|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Дніпропетровська||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|ТОВ Дніпровський металургійний комбінат|0
538|4608|13-45179906|м. Вільнянськ, вул. Бочарова, 4|Вільнянськ|FLM-5;SLM-5 APPEAL.. 01.03.2019 Невідповідний температурний режим||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Запорізька||0|0|1|0|УСБ ВТ,ПТ|PRINTEC 8|PRINTEC 12|Вільнянська міська рада|0
539|4609|13-45181299|м. Харків, вул. Полтавський Шлях, 146 (2-й АТМ)|Харків|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|ТЦ Атлас|0
540|4610|5300651922|м. Київ, пр. 40-річчя Жовтня, 58А|Київ|FLM-7;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Велика Кишеня|1
541|4611|5300301687|м. Київ, пр. Академіка Заболотного, 158|Київ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Миронівський Хлібопродукт|1
542|4612|5300265184|м. Полтава, пр. Першотравневий, 24 (2-й АТМ)|Полтава|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Полтавська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Полтавський НТУ ім. Кондратюка|1
543|4613|5300722251|м. Київ, вул. Кільцева дорога, 18|Київ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТОВ Арма-Моторс|1
544|4614|13-46071492|м. Запоріжжя, вул. Добролюбова, 10|Запоріжжя|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Запорізька||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Запорізька Державна Інженерна Академія|0
545|4615|5300184382|м. Київ, вул. Ялтинська, 6Б|Київ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Ломбард|1
546|4616|5300652046|м. Харків, пр. Московський, 274В|Харків|FLM-7;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Харківська|07.06.2012|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Восторг|1
547|4617|5300358659|м. Харків, вул. Героїв Праці, 9 (1-й АТМ)|Харків|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Харківська|07.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТРЦ Дафі|1
548|4618|5300651703|м. Київ, вул. Богдана Хмельницького, 17/52 (3-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Київська|11.07.2012|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|БЦ Леонардо, 14 пов.|1
549|4619|5300200039|м. Київ, пр. Червонозоряний, 132|Київ|FLM-5;SLM-5||ALFA|ProCash 3000|WINCOR||Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Офіс ПАТ Укрсоцбанк|1
550|4620|5300223302|м. Полтава, вул. Грушевського, 2А|Полтава|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Полтавська|14.11.2013|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ПНГрТ ПолтНТУ|1
551|4621|5300507211|м. Харків, вул. Чкалова, 1|Харків|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Харківська|07.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Гуртожиток ХАІ|1
552|4622|5300338857|с. Петропавлівська Борщагівка, вул. Петропавлівська, 2А|Київ|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська|04.07.2011|0|0|1|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|с/м Billa|1
553|4623|5300722266|м. Київ, бул. Перова, 36|Київ|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська|20.12.2013|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТЦ Квадрат|1
554|4624|13-45167141|м. Одеса, вул. Вільямса, 9А|Одеса|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Одеська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|с/м Таврія В|0
555|4626|13-45167178|с. Проліски, вул. Броварська, 1|Проліски|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Київська||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|ТОВ Аеро-Експрес|0
556|4627|13-45179899|м. Слов'янськ, вул. Краматорська, 79|Слов'янськ|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Донецька||0|0|1|0|УСБ ПН,ЧТ|PRINTEC 8|PRINTEC 12|Слов'янський завод високовольтних ізоляторів|0
557|4628|5300302692|м. Харків, вул. Леся Сердюка, 36|Харків|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Харківська|06.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Клас|1
