№|ID|серійний номер|адреса|місто|особливості|опис 4 зони|банк|модель|виробник|контактна особа|область|дата отримання ключа|наявність ключа|доступ|сигналізація|зарплатний проект|інкасація|flm|slm|розміщення|vip
228|4270|5300207303|м. Кам'янка, вул. Леніна, 13А|Кам'янка|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR||Черкаська||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Кам'янське|1
229|4271|5300499934|с. Липини, вул. Окружна, 37|Луцьк|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Волинська|14.07.2011|0|0|1|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|г/м Епіцентр|1
230|4273|5300714395|м. Ужгород, вул. Собранецька, 89|Ужгород|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Закарпатська|24.12.2013|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ТРЦ Дастор|1
231|4274|5300357102|м. Івано-Франківськ, вул. Незалежності, 53|Івано-Франківськ|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Івано-Франківська|20.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Спілка художників|1
232|4275|5300207343|м. Одеса, вул. Героїв Сталінграду, 94|Одеса|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Одеська|07.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Магазин Алгрі|1
233|4277|5300207277|м. Кременець, вул. Дубенська, 141|Кременець|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Тернопільська|14.07.2011|0|0|1|1|УСБ ПН,ПТ|Реноме-Смарт 6|Реноме-Смарт 10|Магазин Електросвіт|1
234|4278|5300265180|м. Вінниця, вул. Чехова, 23|Вінниця|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Вінницька|06.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Грош|1
235|4279|5300356348|м. Енергодар, вул. Комсомольська, 6|Енергодар|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Запорізька|19.07.2011|0|0|1|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Магазин Дитячі іграшки|1
236|4280|5300338076|м. Калуш, вул. Богдана Хмельницького, 19|Калуш|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Івано-Франківська|14.07.2011|0|0|1|1|УСБ ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Магазин Ажур|1
237|4283|13-48383094|м. Львів, вул. Карпінського, 8|Львів|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Львівська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Навчальний корпус|1
238|4284|13-49011898|смт. Новооржицьке, вул. Центральна, 2|Новооржицьке|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Полтавська||0|0|1|0|УСБ ПН,ЧТ|PRINTEC 8|PRINTEC 12|Оржицький цукровий завод|1
239|4285|5300200959|м. Рівне, вул. Макарова, 23|Рівне|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Рівненська|08.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Велика Кишеня|1
240|4286|5300356380|м. Тернопіль, вул. Степана Бандери, 90|Тернопіль|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Тернопільська|01.08.2013|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Офіс|1
241|4287|5300232346|м. Чугуїв, вул. Харківська, 127 (1-й АТМ)|Чугуїв|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|063 314 89 64 Руденко Тетяна|Харківська|20.07.2011|0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Чугуївське|1
242|4288|5300298089|м. Хмельницький, вул. Зарічанська, 11/4|Хмельницький|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Хмельницька|08.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
243|4289|13-48383557|м. Чернівці, вул. Незалежності, 89|Чернівці|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Чернівецька||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Магазин Колос|1
244|4290|13-45167171|с. Новоселівка, вул. Шевченка, 58|Новоселівка|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Чернігівська||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|с/м Еко маркет|1
245|4291|5300499880|м. Вінниця, 1-й км Хмельницького шосе|Вінниця|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Вінницька|21.10.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
